WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
7UW5DL0KQEAUOVL30TLIJ8AWFTZ9FW,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,definite,present,dolphin,The dolphins always travel together.,2,1465,53,target,simple,no,no,735,3,generic
JX0FSAH7UIU6CA3JPK6C8ZDMFW3VYP,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,definite,past,piano,The piano was old and dusty. ,2,1307,54,target,simple,no,yes,3944,4,non.generic
U8YZ5UGEAVTCU24QQ0TZOJQYNRGHIT,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,cheetah,The cheetah ran very fast.,2,1995,50,target,simple,no,no,4027,3,non.generic
FZ54885I72OVR3OG0LDYNAZRTO01AQ,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,rabbit,The rabbit was hopping in the yard.,2,2220,33,target,progressive,no,no,4176,5,non.generic
N9FKRP70HKSW2ZL91S0GRD4W7GGJ69,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,indefinite,present,couch,A couch is for sitting.,1,2321,39,target,simple,no,yes,28,3,generic
EAW4OSMSFDXJI7I0YEIWP1K1JEY65L,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,skunk,The skunk was smelling pretty funky today.,2,1211,29,target,progressive,no,no,2064,5,non.generic
6KOJ1PV5M7FLTMMR7AEKPD37LA516R,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,butterfly,The butterfly had pretty wings.,2,1510,28,target,simple,no,yes,753,3,non.generic
6JPKAA8UILTM5EIUYTIRCDSMU9JMZS,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,indefinite,present,zipper,Zippers are the best fastener for jeans because they are sturdy.,1,3283,25,target,simple,no,yes,219,10,generic
X63TRXO7HJAZFSN6U9NUVE7V8JY4T1,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,definite,present,light bulb,The light bulb needs changing..,2,1507,24,target,simple,no,no,286,2,non.generic
M7IZ9DFXBQERULRDOZXGPC07CUP22E,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,definite,past,football,The footballs were being thrown to the crowd.,2,1852,27,target,progressive,no,no,1481,6,non.generic
